CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,LATITUDE,LONGITUDE,COUNCIL,COUNTY,PARISH,NGR,URL
5595,NC63NW 1,Grummore,"Head Dyke (Post Medieval), Township (Period Unassigned)",260500,936400,58.293989,-4.381505,HIGHLAND,SUTHERLAND,FARR,NC 605 364,http://canmore.org.uk/site/5595
5415,NC60NE 20,Leataidh,Township(S) (Period Unassigned),268800,905400,58.018329,-4.222615,HIGHLAND,SUTHERLAND,ROGART,NC 688 054,http://canmore.org.uk/site/5415
5582,NC63NE 5,Achadh An Eas,Township (Period Unassigned),266700,937100,58.302196,-4.276238,HIGHLAND,SUTHERLAND,FARR,NC 667 371,http://canmore.org.uk/site/5582
5623,NC63NW 6,Grumbeg,Township (Period Unassigned),263400,938500,58.313745,-4.333321,HIGHLAND,SUTHERLAND,FARR,NC 634 385,http://canmore.org.uk/site/5623
5637,NC63SE 20,Coirenamfeuran,Township (Period Unassigned),266200,934700,58.280506,-4.283374,HIGHLAND,SUTHERLAND,FARR,NC 662 347,http://canmore.org.uk/site/5637
6238,NC75NW 35,Achcoillenaborgie,Township (Period Unassigned),271500,959300,58.502863,-4.206829,HIGHLAND,SUTHERLAND,FARR,NC 715 593,http://canmore.org.uk/site/6238
6307,NC75SW 19,Achanellan,"Corn Drying Kiln (Period Unassigned), Head Dyke (Post Medieval), Head Dyke (Post Medieval), Township (Period Unassigned)",272700,953200,58.44847,-4.182855,HIGHLAND,SUTHERLAND,FARR,NC 727 532,http://canmore.org.uk/site/6307
5353,NC55SE 17,Kinloch,"Head Dyke (Post Medieval), Township (Period Unassigned)",255800,953000,58.441422,-4.472,HIGHLAND,SUTHERLAND,TONGUE,NC 558 530,http://canmore.org.uk/site/5353
5377,NC55SE 7,Scrabster,Township (Period Unassigned),259100,954600,58.456856,-4.416511,HIGHLAND,SUTHERLAND,TONGUE,NC 591 546,http://canmore.org.uk/site/5377
5378,NC55SE 8,Coille Na Cuile,"Head Dyke (Post Medieval), Township (Period Unassigned)",256200,950300,58.417327,-4.463462,HIGHLAND,SUTHERLAND,TONGUE,NC 562 503,http://canmore.org.uk/site/5378
5537,NC62NW 1,Alltnaba,Township (Period Unassigned)(Possible),262100,928400,58.222703,-4.349479,HIGHLAND,SUTHERLAND,FARR,NC 621 284,http://canmore.org.uk/site/5537
5560,NC63NE 3,Ach A' Chuil,"Corn Drying Kiln(S) (Period Unassigned), Head Dyke (Post Medieval), Township (Period Unassigned)",265600,937700,58.307245,-4.295339,HIGHLAND,SUTHERLAND,FARR,NC 656 377,http://canmore.org.uk/site/5560
5586,NC63NE 53,Dail A' Thuraich,Township (Period Unassigned),265100,938600,58.315169,-4.30439,HIGHLAND,SUTHERLAND,FARR,NC 651 386,http://canmore.org.uk/site/5586
5587,NC63NE 54,Dailmallart,"Farmstead (Period Unassigned), Head Dyke (Post Medieval)",267100,937600,58.306804,-4.269706,HIGHLAND,SUTHERLAND,FARR,NC 671 376,http://canmore.org.uk/site/5587
